  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
" 54,680.00 "," 260,653.00 "," 121,537.00 "," 200,139.00 "," 20,167.00 "
" 352,234.00 "," 295,267.00 "," 322,956.00 "," 199,488.00 ",  -    
" 473,775.00 "," 235,066.00 "," 483,185.00 "," 199,882.00 ",  -    
" 228,093.00 "," 308,200.00 "," 222,143.00 "," 200,006.00 "," 157,030.00 "
" 236,081.00 "," 256,445.00 "," 38,696.00 "," 199,966.00 "," 57,217.00 "
" 54,734.00 "," 276,603.00 "," 156,442.00 "," 200,308.00 "," 52,091.00 "
" 283,125.00 "," 309,486.00 "," 70,667.00 "," 199,236.00 "," 217,049.00 "
" 78,696.00 "," 274,460.00 "," 141,377.00 "," 199,918.00 "," 185,788.00 "
" 108,269.00 "," 203,092.00 "," 441,688.00 "," 200,325.00 "," 141,838.00 "
" 312,472.00 "," 176,514.00 "," 177,673.00 "," 199,949.00 "," 57,553.00 "
" 140,634.00 "," 261,998.00 "," 344,570.00 "," 200,197.00 "," 31,237.00 "
" 300,253.00 "," 230,337.00 "," 404,196.00 "," 199,562.00 ",  -    
" 202,875.00 "," 250,647.00 "," 476,672.00 "," 198,840.00 "," 145,899.00 "
" 281,928.00 "," 190,168.00 "," 69,213.00 "," 199,302.00 "," 193,317.00 "
" 100,571.00 "," 188,947.00 "," 14,641.00 "," 200,854.00 ",  -    
" 312,451.00 "," 327,047.00 "," 139,463.00 "," 200,107.00 "," 176,606.00 "
" 199,006.00 "," 187,406.00 "," 485,445.00 "," 200,186.00 "," 130,335.00 "
" 316,660.00 "," 278,631.00 "," 378,969.00 "," 200,108.00 "," 61,922.00 "
" 171,945.00 "," 329,846.00 "," 230,802.00 "," 200,590.00 ",  -    
" 228,429.00 "," 242,525.00 ", 201.00 ," 200,440.00 ",  -    
" 101,281.00 "," 249,669.00 "," 390,071.00 "," 200,080.00 ",  -    
" 96,657.00 "," 182,245.00 "," 218,596.00 "," 199,425.00 "," 248,159.00 "
" 159,109.00 "," 303,368.00 "," 266,238.00 "," 200,144.00 "," 42,877.00 "
" 301,126.00 "," 281,186.00 "," 16,073.00 "," 200,311.00 "," 35,241.00 "
" 134,392.00 "," 226,519.00 "," 415,301.00 "," 199,391.00 "," 85,477.00 "
" 248,262.00 "," 221,159.00 "," 267,599.00 "," 199,968.00 ",  -    
" 64,709.00 "," 194,373.00 "," 382,703.00 "," 200,262.00 ",  -    
" 103,742.00 "," 338,280.00 "," 496,841.00 "," 200,192.00 "," 98,625.00 "
" 55,148.00 "," 212,385.00 "," 321,733.00 "," 200,005.00 ",  -    
" 404,806.00 "," 284,143.00 "," 384,223.00 "," 199,917.00 "," 92,371.00 "
" 103,569.00 "," 334,418.00 "," 253,701.00 "," 199,326.00 ",  -    
" 148,585.00 "," 267,497.00 "," 390,293.00 "," 199,353.00 "," 61,525.00 "
" 187,084.00 "," 281,853.00 "," 498,665.00 "," 199,797.00 "," 163,449.00 "
" 271,048.00 "," 203,494.00 "," 139,854.00 "," 200,009.00 "," 130,010.00 "
" 110,562.00 "," 263,792.00 "," 12,765.00 "," 199,993.00 "," 228,211.00 "
" 65,908.00 "," 249,860.00 "," 28,378.00 "," 200,110.00 ",  -    
" 232,064.00 "," 207,106.00 "," 143,491.00 "," 200,128.00 "," 209,450.00 "
" 238,651.00 "," 241,810.00 "," 13,808.00 "," 200,188.00 ",  -    
" 224,579.00 "," 204,081.00 "," 31,492.00 "," 199,748.00 "," 33,575.00 "
" 454,024.00 "," 240,278.00 "," 252,433.00 "," 200,427.00 ",  -    
" 251,872.00 "," 210,871.00 "," 350,948.00 "," 199,702.00 "," 56,746.00 "
" 152,123.00 "," 251,834.00 "," 53,473.00 "," 199,762.00 ",  -    
" 149,777.00 "," 171,043.00 "," 24,991.00 "," 199,901.00 "," 25,128.00 "
" 386,221.00 "," 311,169.00 "," 2,728.00 "," 200,110.00 "," 69,902.00 "
" 349,746.00 "," 218,465.00 "," 305,174.00 "," 200,301.00 "," 40,733.00 "
" 103,770.00 "," 337,021.00 "," 78,396.00 "," 199,468.00 "," 62,688.00 "
" 176,944.00 "," 343,602.00 "," 10,167.00 "," 200,000.00 "," 166,176.00 "
" 463,676.00 "," 164,001.00 "," 15,315.00 "," 199,306.00 ",  -    
" 346,363.00 "," 262,751.00 "," 231,807.00 "," 200,403.00 "," 112,402.00 "
" 176,898.00 "," 261,477.00 "," 390,019.00 "," 200,017.00 "," 91,990.00 "
  -    ," 198,234.00 "," 169,310.00 "," 200,140.00 "," 48,856.00 "
" 200,516.00 "," 175,575.00 "," 46,340.00 "," 200,712.00 ",  -    
" 129,296.00 "," 349,069.00 "," 264,375.00 "," 199,819.00 "," 164,723.00 "
" 198,687.00 "," 290,208.00 "," 497,376.00 "," 199,583.00 "," 154,804.00 "
" 217,933.00 "," 172,248.00 "," 478,830.00 "," 200,049.00 "," 24,401.00 "
" 208,029.00 "," 196,109.00 "," 191,798.00 "," 199,998.00 ",  -    
" 118,207.00 "," 292,775.00 "," 1,435.00 "," 200,330.00 "," 25,797.00 "
" 4,698.00 "," 225,440.00 "," 499,509.00 "," 200,696.00 "," 42,066.00 "
" 197,538.00 "," 291,268.00 "," 347,851.00 "," 200,300.00 ",  -    
" 10,125.00 "," 340,540.00 "," 360,988.00 "," 199,692.00 "," 75,217.00 "
  -    ," 176,978.00 "," 30,210.00 "," 200,674.00 "," 217,350.00 "
" 150,786.00 "," 180,677.00 "," 449,883.00 "," 200,239.00 "," 43,749.00 "
" 158,608.00 "," 305,653.00 "," 185,033.00 "," 200,281.00 "," 64,160.00 "
" 66,921.00 "," 273,421.00 "," 15,789.00 "," 200,036.00 ",  -    
" 151,860.00 "," 271,547.00 "," 397,223.00 "," 199,577.00 ",  -    
" 242,380.00 "," 273,722.00 "," 227,045.00 "," 199,969.00 "," 100,926.00 "
" 137,083.00 "," 170,571.00 "," 374,816.00 "," 199,558.00 "," 57,860.00 "
" 271,867.00 "," 297,174.00 "," 433,206.00 "," 200,091.00 "," 32,055.00 "
" 183,167.00 "," 151,695.00 "," 283,902.00 "," 199,935.00 "," 97,801.00 "
" 153,130.00 "," 286,914.00 "," 189,336.00 "," 199,969.00 "," 33,322.00 "
" 203,114.00 "," 260,144.00 "," 332,480.00 "," 200,562.00 ",  -    
" 71,096.00 "," 229,199.00 "," 49,559.00 "," 199,884.00 "," 149,957.00 "
" 107,266.00 "," 267,008.00 "," 45,198.00 "," 199,864.00 ",  -    
" 380,875.00 "," 304,021.00 "," 486,795.00 "," 200,353.00 "," 106,216.00 "
" 241,659.00 "," 304,144.00 "," 82,812.00 "," 199,890.00 "," 88,859.00 "
" 34,237.00 "," 217,721.00 "," 17,447.00 "," 199,648.00 "," 288,999.00 "
" 41,540.00 "," 261,856.00 "," 316,805.00 "," 200,406.00 "," 256,441.00 "
" 151,937.00 "," 226,697.00 "," 13,648.00 "," 200,046.00 ",  -    
" 275,423.00 "," 262,460.00 "," 488,374.00 "," 199,979.00 "," 85,270.00 "
" 251,419.00 "," 207,522.00 "," 193,764.00 "," 200,769.00 "," 136,911.00 "
" 90,893.00 "," 227,148.00 "," 2,059.00 "," 199,785.00 "," 48,988.00 "
" 235,574.00 "," 195,122.00 "," 284,443.00 "," 199,506.00 "," 67,769.00 "
" 147,911.00 "," 246,773.00 "," 494,476.00 "," 200,189.00 "," 106,609.00 "
" 231,742.00 "," 153,307.00 "," 428,906.00 "," 200,086.00 "," 182,946.00 "
" 76,618.00 "," 295,509.00 "," 431,935.00 "," 200,294.00 ",  -    
" 162,276.00 "," 273,933.00 "," 183,107.00 "," 199,808.00 "," 9,727.00 "
  -    ," 332,596.00 "," 385,908.00 "," 200,080.00 "," 27,543.00 "
" 175,854.00 "," 344,929.00 "," 315,695.00 "," 199,912.00 "," 251,485.00 "
" 173,432.00 "," 168,916.00 "," 105,570.00 "," 199,797.00 ",  -    
" 387,112.00 "," 256,115.00 "," 375,043.00 "," 200,525.00 "," 61,921.00 "
" 279,113.00 "," 170,165.00 "," 3,474.00 "," 200,417.00 "," 182,767.00 "
" 366,008.00 "," 332,198.00 "," 284,343.00 "," 199,384.00 ",  -    
" 173,623.00 "," 261,510.00 "," 448,404.00 "," 199,159.00 ",  -    
" 249,192.00 "," 250,120.00 "," 214,617.00 "," 200,480.00 ",  -    
" 126,636.00 "," 184,028.00 "," 460,771.00 "," 200,550.00 ",  -    
" 273,903.00 "," 327,894.00 "," 35,028.00 "," 199,294.00 "," 152,213.00 "
" 266,367.00 "," 318,997.00 "," 495,788.00 "," 199,625.00 "," 9,006.00 "
" 100,432.00 "," 292,259.00 "," 491,310.00 "," 200,281.00 "," 35,459.00 "
" 285,506.00 "," 300,874.00 "," 1,602.00 "," 199,839.00 ",  -    
" 160,529.00 "," 337,878.00 "," 219,104.00 "," 200,415.00 "," 177,443.00 "
" 225,798.00 "," 338,783.00 "," 65,461.00 "," 200,088.00 ",  -    
" 226,842.00 "," 214,924.00 "," 27,288.00 "," 200,348.00 "," 75,804.00 "
" 187,575.00 "," 323,852.00 "," 413,161.00 "," 200,185.00 "," 150,420.00 "
" 172,392.00 "," 166,033.00 "," 293,009.00 "," 200,362.00 "," 75,354.00 "
" 291,523.00 "," 254,154.00 ", 237.00 ," 199,262.00 "," 129,129.00 "
" 293,781.00 "," 180,225.00 "," 300,901.00 "," 199,537.00 ",  -    
" 302,450.00 "," 317,726.00 "," 26,133.00 "," 199,979.00 "," 145,912.00 "
" 131,782.00 "," 345,640.00 "," 36,953.00 "," 200,166.00 "," 151,432.00 "
" 259,958.00 "," 300,550.00 "," 96,703.00 "," 199,985.00 "," 277,408.00 "
" 142,748.00 "," 150,459.00 "," 494,694.00 "," 199,977.00 "," 9,542.00 "
" 418,018.00 "," 210,684.00 "," 285,869.00 "," 199,706.00 "," 77,961.00 "
" 166,493.00 "," 285,107.00 "," 138,721.00 "," 200,596.00 "," 142,916.00 "
" 42,816.00 "," 305,679.00 "," 251,365.00 "," 200,116.00 "," 40,045.00 "
" 124,287.00 "," 322,867.00 "," 69,311.00 "," 199,219.00 "," 200,171.00 "
" 192,615.00 "," 185,907.00 "," 255,492.00 "," 200,173.00 "," 129,232.00 "
" 196,521.00 "," 227,780.00 "," 392,843.00 "," 200,343.00 "," 204,441.00 "
" 233,555.00 "," 156,249.00 "," 119,962.00 "," 199,866.00 ",  -    
" 238,706.00 "," 312,332.00 "," 372,176.00 "," 200,005.00 "," 219,291.00 "
" 229,576.00 "," 302,024.00 "," 204,856.00 "," 199,958.00 "," 134,698.00 "
" 267,963.00 "," 320,516.00 "," 293,575.00 "," 199,970.00 "," 187,198.00 "
" 97,261.00 "," 294,735.00 "," 478,977.00 "," 199,800.00 "," 241,050.00 "
" 141,069.00 "," 324,990.00 "," 152,928.00 "," 199,529.00 ",  -    
" 229,362.00 "," 227,305.00 "," 420,380.00 "," 199,413.00 "," 80,403.00 "
" 173,890.00 "," 186,542.00 "," 480,857.00 "," 200,044.00 "," 191,970.00 "
" 36,410.00 "," 160,801.00 "," 286,255.00 "," 199,947.00 ",  -    
" 201,156.00 "," 157,182.00 "," 78,247.00 "," 200,275.00 ",  -    
" 95,199.00 "," 234,639.00 "," 117,916.00 "," 199,668.00 "," 117,169.00 "
" 171,838.00 "," 165,479.00 "," 437,637.00 "," 199,977.00 "," 83,863.00 "
" 273,028.00 "," 153,645.00 "," 373,737.00 "," 200,318.00 ",  -    
  -    ," 238,912.00 "," 397,073.00 "," 200,278.00 "," 110,643.00 "
" 201,422.00 "," 312,356.00 "," 210,305.00 "," 199,157.00 "," 103,446.00 "
" 247,660.00 "," 333,665.00 "," 215,455.00 "," 199,786.00 "," 61,920.00 "
" 116,729.00 "," 260,105.00 "," 496,047.00 "," 199,383.00 "," 116,728.00 "
" 235,367.00 "," 259,573.00 "," 2,758.00 "," 200,213.00 "," 100,438.00 "
" 269,627.00 "," 311,697.00 "," 307,018.00 "," 200,467.00 "," 52,258.00 "
" 217,051.00 "," 239,709.00 "," 149,091.00 "," 199,865.00 ",  -    
" 331,832.00 "," 196,141.00 "," 31,629.00 "," 200,163.00 "," 210,249.00 "
" 385,629.00 "," 281,558.00 "," 384,036.00 "," 199,542.00 "," 137,927.00 "
" 427,927.00 "," 220,109.00 "," 489,252.00 "," 200,222.00 "," 58,993.00 "
" 149,092.00 "," 160,712.00 "," 491,977.00 "," 200,009.00 "," 66,194.00 "
" 277,958.00 "," 242,637.00 "," 104,962.00 "," 199,920.00 "," 214,324.00 "
" 168,763.00 "," 242,229.00 "," 162,625.00 "," 199,361.00 ",  -    
" 291,226.00 "," 169,870.00 "," 490,652.00 "," 200,021.00 "," 119,344.00 "
" 371,948.00 "," 348,521.00 "," 147,490.00 "," 200,220.00 "," 229,004.00 "
" 9,042.00 "," 206,695.00 "," 115,101.00 "," 200,162.00 ",  -    
" 304,933.00 "," 321,295.00 "," 423,531.00 "," 199,491.00 ",  -    
  -    ," 276,934.00 "," 275,017.00 "," 199,997.00 "," 47,153.00 "
" 221,182.00 "," 347,698.00 "," 184,542.00 "," 199,335.00 ",  -    
" 329,520.00 "," 233,422.00 "," 22,568.00 "," 200,093.00 ",  -    
" 127,573.00 "," 167,969.00 "," 485,102.00 "," 200,095.00 "," 63,082.00 "
" 317,188.00 "," 290,845.00 "," 474,100.00 "," 199,749.00 ",  -    
" 191,134.00 "," 218,739.00 "," 33,805.00 "," 200,136.00 ",  -    
" 130,225.00 "," 231,454.00 "," 35,311.00 "," 199,418.00 "," 286,957.00 "
" 231,319.00 "," 235,669.00 "," 499,866.00 "," 199,777.00 "," 203,117.00 "
" 106,959.00 "," 236,009.00 "," 155,836.00 "," 200,071.00 "," 6,108.00 "
" 57,954.00 "," 338,754.00 "," 490,540.00 "," 199,589.00 ",  -    
" 286,191.00 "," 164,475.00 "," 374,895.00 "," 199,859.00 ",  -    
" 209,356.00 "," 164,565.00 "," 215,445.00 "," 199,636.00 "," 80,135.00 "
" 304,273.00 "," 319,954.00 "," 162,741.00 "," 200,267.00 "," 108,129.00 "
" 85,319.00 "," 192,964.00 "," 218,011.00 "," 199,874.00 "," 164,757.00 "
" 278,687.00 "," 204,265.00 "," 237,666.00 "," 200,879.00 "," 152,485.00 "
" 197,783.00 "," 267,215.00 "," 7,899.00 "," 200,089.00 "," 99,761.00 "
" 209,679.00 "," 305,791.00 "," 166,289.00 "," 199,843.00 ",  -    
" 257,046.00 "," 158,058.00 "," 84,748.00 "," 200,073.00 "," 134,996.00 "
" 103,061.00 "," 321,305.00 "," 474,041.00 "," 199,991.00 "," 154,934.00 "
" 211,512.00 "," 184,197.00 "," 409,409.00 "," 199,714.00 "," 133,309.00 "
" 140,186.00 "," 293,284.00 "," 421,692.00 "," 200,000.00 "," 70,646.00 "
" 204,982.00 "," 327,716.00 "," 81,959.00 "," 199,377.00 "," 199,529.00 "
" 288,154.00 "," 190,582.00 "," 62,783.00 "," 199,520.00 "," 182,531.00 "
" 77,492.00 "," 162,070.00 "," 298,656.00 "," 200,248.00 "," 199,592.00 "
" 203,503.00 "," 163,527.00 "," 117,186.00 "," 200,512.00 "," 38,989.00 "
" 47,913.00 "," 331,485.00 "," 44,959.00 "," 199,978.00 ",  -    
" 193,486.00 "," 256,961.00 "," 376,497.00 "," 199,768.00 "," 162,734.00 "
" 214,235.00 "," 290,618.00 "," 66,992.00 "," 199,349.00 "," 182,538.00 "
" 233,459.00 "," 163,839.00 "," 382,926.00 "," 199,478.00 "," 211,206.00 "
" 145,425.00 "," 281,614.00 "," 42,875.00 "," 199,994.00 "," 109,452.00 "
" 68,524.00 "," 287,102.00 "," 36,914.00 "," 200,356.00 "," 161,304.00 "
" 29,412.00 "," 287,970.00 "," 82,820.00 "," 200,224.00 ",  -    
" 236,570.00 "," 166,674.00 "," 491,633.00 "," 200,014.00 ",  -    
" 244,208.00 "," 269,603.00 "," 63,696.00 "," 199,534.00 "," 120,165.00 "
" 237,515.00 "," 344,427.00 "," 169,661.00 "," 200,834.00 ",  -    
  -    ," 260,803.00 "," 34,160.00 "," 200,054.00 "," 78,185.00 "
" 26,980.00 "," 303,717.00 "," 207,648.00 "," 199,628.00 "," 75,531.00 "
" 352,305.00 "," 186,510.00 "," 479,780.00 "," 200,520.00 "," 42,124.00 "
" 173,224.00 "," 221,520.00 "," 426,418.00 "," 199,609.00 ",  -    
" 267,274.00 "," 327,232.00 "," 498,608.00 "," 199,752.00 "," 31,777.00 "
" 69,418.00 "," 186,034.00 "," 31,207.00 "," 199,592.00 ",  -    
" 357,414.00 "," 294,752.00 "," 459,995.00 "," 199,277.00 "," 35,894.00 "
" 211,939.00 "," 265,900.00 "," 115,574.00 "," 199,507.00 "," 109,051.00 "
" 118,324.00 "," 307,400.00 "," 489,925.00 "," 199,864.00 ",  -    
" 250,893.00 "," 254,225.00 "," 379,983.00 "," 200,080.00 ",  -    
" 226,256.00 "," 151,485.00 "," 467,459.00 "," 199,744.00 "," 166,115.00 "
" 232,360.00 "," 304,475.00 "," 404,937.00 "," 199,549.00 "," 115,078.00 "
" 271,376.00 "," 226,472.00 "," 106,421.00 "," 199,855.00 "," 196,252.00 "
" 61,501.00 "," 309,818.00 "," 496,028.00 "," 199,643.00 "," 73,683.00 "
" 392,881.00 "," 176,314.00 "," 167,212.00 "," 200,058.00 ",  -    
" 263,576.00 "," 298,432.00 "," 97,801.00 "," 199,269.00 "," 130,012.00 "
" 198,444.00 "," 310,175.00 "," 383,034.00 "," 200,804.00 ",  -    
" 209,258.00 "," 190,398.00 "," 487,926.00 "," 199,919.00 "," 22,045.00 "
" 99,904.00 "," 230,807.00 "," 9,532.00 "," 199,533.00 ",  -    
" 460,365.00 "," 195,443.00 "," 202,842.00 "," 200,227.00 "," 170,466.00 "
" 244,264.00 "," 315,763.00 "," 436,609.00 "," 199,759.00 "," 46,719.00 "
" 94,216.00 "," 242,462.00 "," 39,623.00 "," 200,099.00 "," 73,957.00 "
" 248,115.00 "," 333,632.00 "," 20,794.00 "," 199,730.00 "," 84,032.00 "
" 83,729.00 "," 216,157.00 "," 489,406.00 "," 200,122.00 ",  -    
" 178,728.00 "," 270,700.00 "," 7,527.00 "," 200,660.00 "," 120,229.00 "
" 217,758.00 "," 180,429.00 "," 66,066.00 "," 199,866.00 "," 35,615.00 "
" 189,931.00 "," 222,500.00 "," 159,352.00 "," 200,908.00 ",  -    
" 123,824.00 "," 234,437.00 "," 1,734.00 "," 200,862.00 ",  -    
" 127,284.00 "," 317,473.00 "," 181,610.00 "," 200,204.00 "," 42,843.00 "
" 246,226.00 "," 334,669.00 "," 58,295.00 "," 199,466.00 "," 93,200.00 "
" 157,777.00 "," 340,438.00 "," 441,574.00 "," 200,096.00 "," 158,543.00 "
" 120,987.00 "," 289,390.00 "," 12,128.00 "," 199,632.00 ",  -    
" 136,184.00 "," 229,733.00 "," 158,145.00 "," 199,976.00 "," 65,560.00 "
" 282,994.00 "," 248,661.00 "," 1,685.00 "," 200,285.00 "," 216,690.00 "
" 348,803.00 "," 272,271.00 "," 422,356.00 "," 199,996.00 "," 11,142.00 "
" 201,684.00 "," 205,655.00 "," 82,069.00 "," 200,194.00 "," 127,010.00 "
" 176,300.00 "," 234,896.00 "," 41,448.00 "," 200,665.00 "," 53,970.00 "
" 11,455.00 "," 234,793.00 "," 285,623.00 "," 200,773.00 "," 56,361.00 "
" 233,729.00 "," 246,683.00 "," 499,790.00 "," 199,248.00 ",  -    
" 228,788.00 "," 282,090.00 "," 358,024.00 "," 200,099.00 "," 103,084.00 "
" 178,721.00 "," 266,569.00 "," 324,542.00 "," 199,663.00 ",  -    
" 259,597.00 "," 214,744.00 "," 373,811.00 "," 200,665.00 ", 797.00 
" 102,075.00 "," 163,424.00 "," 499,982.00 "," 200,542.00 ",  -    
" 199,033.00 "," 217,747.00 "," 1,823.00 "," 200,032.00 "," 61,633.00 "
" 288,829.00 "," 274,224.00 "," 436,315.00 "," 199,403.00 "," 71,133.00 "
" 192,088.00 "," 333,315.00 "," 108,380.00 "," 200,003.00 "," 122,121.00 "
" 231,863.00 "," 282,589.00 "," 355,087.00 "," 199,861.00 "," 160,330.00 "
" 163,324.00 "," 297,202.00 "," 93,031.00 "," 199,803.00 "," 158,901.00 "
" 131,108.00 "," 303,898.00 "," 367,015.00 "," 199,710.00 "," 18,824.00 "
" 39,794.00 "," 214,447.00 "," 125,222.00 "," 199,763.00 "," 138,813.00 "
" 259,955.00 "," 150,562.00 "," 325,714.00 "," 199,738.00 ",  -    
" 247,573.00 "," 257,974.00 "," 418,895.00 "," 200,366.00 "," 35,605.00 "
" 242,964.00 "," 220,372.00 "," 83,656.00 "," 200,973.00 "," 162,198.00 "
" 191,572.00 "," 157,040.00 "," 420,905.00 "," 200,144.00 ",  -    
" 211,196.00 "," 287,891.00 "," 338,574.00 "," 199,863.00 "," 118,136.00 "
" 218,786.00 "," 252,095.00 "," 98,768.00 "," 200,759.00 "," 27,316.00 "
" 162,702.00 "," 188,036.00 "," 3,944.00 "," 199,652.00 "," 131,055.00 "
" 179,506.00 "," 306,327.00 "," 284,258.00 "," 199,801.00 "," 53,382.00 "
" 163,740.00 "," 332,834.00 "," 45,740.00 "," 200,976.00 "," 170,903.00 "
" 245,114.00 "," 301,374.00 "," 363,277.00 "," 200,269.00 "," 29,282.00 "
" 235,714.00 "," 308,550.00 "," 356,001.00 "," 199,565.00 "," 163,771.00 "
" 308,795.00 "," 336,142.00 "," 105,737.00 "," 200,204.00 "," 158,281.00 "
" 99,582.00 "," 153,799.00 "," 176,099.00 "," 199,450.00 "," 88,279.00 "
  -    ," 291,157.00 "," 39,601.00 "," 200,110.00 "," 109,871.00 "
" 327,116.00 "," 332,442.00 "," 349,373.00 "," 199,803.00 "," 86,467.00 "
" 260,307.00 "," 258,725.00 "," 182,692.00 "," 200,916.00 ",  -    
" 193,484.00 "," 313,915.00 "," 418,891.00 "," 199,247.00 "," 18,991.00 "
" 300,814.00 "," 184,714.00 "," 304,646.00 "," 199,232.00 ",  -    
" 128,150.00 "," 226,107.00 "," 7,647.00 "," 199,824.00 ",  -    
" 283,922.00 "," 154,033.00 "," 257,944.00 "," 199,453.00 "," 12,177.00 "
" 115,712.00 "," 340,926.00 "," 14,268.00 "," 200,036.00 "," 78,626.00 "
" 378,830.00 "," 326,010.00 "," 405,082.00 "," 200,819.00 "," 65,512.00 "
" 160,817.00 "," 335,923.00 "," 117,867.00 "," 200,222.00 "," 212,556.00 "
" 153,831.00 "," 287,358.00 "," 421,447.00 "," 199,322.00 "," 33,591.00 "
" 269,562.00 "," 282,033.00 "," 469,552.00 "," 200,727.00 ",  -    
" 299,105.00 "," 340,933.00 "," 10,422.00 "," 201,016.00 "," 112,806.00 "
" 43,914.00 "," 330,512.00 "," 191,728.00 "," 200,049.00 "," 211,221.00 "
" 330,889.00 "," 299,016.00 "," 17,009.00 "," 199,604.00 "," 56,617.00 "
" 184,083.00 "," 290,097.00 "," 252,955.00 "," 200,067.00 "," 75,061.00 "
" 419,964.00 "," 273,607.00 "," 119,139.00 "," 200,172.00 "," 117,070.00 "
" 54,389.00 "," 249,219.00 "," 442,729.00 "," 199,870.00 ",  -    
" 348,315.00 "," 291,326.00 "," 161,547.00 "," 200,166.00 "," 107,605.00 "
" 334,444.00 "," 206,263.00 "," 22,848.00 "," 199,691.00 "," 26,594.00 "
" 211,106.00 "," 255,582.00 "," 5,269.00 "," 199,761.00 "," 20,987.00 "
" 160,160.00 "," 177,240.00 "," 18,138.00 "," 200,390.00 "," 85,415.00 "
" 276,960.00 "," 258,618.00 "," 408,324.00 "," 200,212.00 "," 109,279.00 "
" 293,271.00 "," 297,750.00 "," 34,129.00 "," 199,891.00 "," 147,777.00 "
" 223,466.00 "," 158,860.00 "," 62,821.00 "," 199,586.00 "," 115,965.00 "
" 74,525.00 "," 340,488.00 "," 26,311.00 "," 199,926.00 "," 95,435.00 "
" 218,970.00 "," 210,461.00 "," 478,883.00 "," 199,806.00 "," 60,499.00 "
" 167,897.00 "," 299,583.00 "," 399,307.00 "," 199,272.00 "," 223,436.00 "
" 87,687.00 "," 153,837.00 "," 392,385.00 "," 200,237.00 "," 163,915.00 "
" 275,092.00 "," 180,664.00 "," 373,303.00 "," 199,600.00 ",  -    
" 269,254.00 "," 247,378.00 "," 481,912.00 "," 200,142.00 "," 65,942.00 "
" 240,198.00 "," 237,035.00 "," 433,314.00 "," 200,162.00 "," 145,926.00 "
